------ Sensor Log Start -------------
01:00:50:00 2143 1919 1918 1807
01:00:45:00 2173 1913 1887 1812
01:00:40:00 2159 1921 1874 1898
01:00:35:00 2138 1963 1891 1907
01:00:30:00 2139 1923 1895 1883
01:00:25:00 2146 1926 1889 1903
01:00:20:00 2157 1921 1882 1904
01:00:15:00 2133 1935 1891 1888
01:00:10:00 2173 1931 1891 1901
01:00:05:00 2112 1908 1893 1904
01:00:00:00 2165 1933 1885 1921
00:23:55:00 2141 1906 1893 1915
00:23:50:00 2161 1933 1851 1932
00:23:45:00 2202 1922 1894 1895
00:23:40:00 2175 1935 1887 1910
00:23:35:00 2155 1933 1899 1898
00:23:30:00 2154 1934 1888 1922
00:23:25:00 2167 1940 1892 1888
00:23:20:00 2135 1962 1877 1889
00:23:15:00 2170 1937 1892 1899
00:23:10:00 2157 1910 1893 1918
00:23:05:00 2262 1941 1905 1907
00:23:00:00 2175 1947 1904 1914
00:22:55:00 2171 1936 1890 1907
00:22:50:00 2179 1999 1888 1905
00:22:45:00 2159 1934 1888 1899
00:22:40:00 2160 1941 1897 1942
00:22:35:00 2142 1926 1907 1886
00:22:30:00 2177 1936 1890 1827
00:22:25:00 2163 1930 1891 1915
00:22:20:00 2170 1941 1886 1925
00:22:15:00 2173 1941 1894 1927
00:22:10:00 2150 1945 1899 1904
00:22:05:00 2176 1939 1899 1907
00:22:00:00 2163 1935 1879 1939
00:21:55:00 2158 1936 1958 1919
00:21:50:00 2150 1938 1898 1926
00:21:45:00 2155 1934 1901 1933
00:21:40:00 2177 1936 1899 1917
00:21:35:00 2233 1954 1906 1958
00:21:30:00 2187 1935 1901 1911
00:21:25:00 2179 1967 1891 1921
00:21:20:00 2160 1938 1904 1934
00:21:15:00 2191 1946 1894 1927
00:21:10:00 2157 1938 1887 1923
00:21:05:00 2161 1936 1903 2011
00:21:00:00 2161 1942 1908 1907
00:20:55:00 2175 1942 1919 1935
00:20:50:00 2175 1936 1891 1909
00:20:45:00 2161 1941 1905 1947
00:20:40:00 2187 1936 1904 1923
00:20:35:00 2157 1937 1895 1919
00:20:30:00 2144 1890 1895 1962
00:20:25:00 2162 1933 1920 1925
00:20:20:00 2170 1942 1911 1925
00:20:15:00 2191 1936 1895 1931
00:20:10:00 2144 1904 1902 1919
00:20:05:00 2167 1936 1905 1949
00:20:00:00 2155 1936 1927 1950
00:19:55:00 2160 1936 1882 1989
00:19:50:00 2157 1935 1906 1969
00:19:45:00 2111 1968 1904 1947
00:19:40:00 2142 1979 1904 1951
00:19:35:00 2207 1928 1888 1946
00:19:30:00 2160 1921 1891 1947
00:19:25:00 2159 1933 1911 1989
00:19:20:00 2161 1933 1919 1963
00:19:15:00 2175 1854 1910 1958
00:19:10:00 2153 1927 1857 1956
00:19:05:00 2163 1946 1885 1963
00:19:00:00 2085 1926 1899 1959
00:18:55:00 2151 1933 1853 1950
00:18:50:00 2156 1927 1898 1936
00:18:45:00 2170 1931 1899 1968
00:18:40:00 2173 1926 2008 2095
00:18:35:00 2149 1930 1904 1963
00:18:30:00 2241 1920 1903 2234
00:18:25:00 2128 1915 1831 1971
00:18:20:00 2150 1926 1904 1972
00:18:15:00 2262 1936 1900 1967
00:18:10:00 2149 1933 1895 1973
00:18:05:00 2143 1927 1875 1968
00:18:00:00 2166 1920 1919 1936
00:17:55:00 2131 1932 1894 1967
00:17:50:00 2153 1933 1890 1982
00:17:45:00 2163 1925 1904 1904
00:17:40:00 2141 1921 1903 1985
00:17:35:00 2158 1950 1919 2013
00:17:30:00 2175 1927 1940 2083
00:17:25:00 2151 1930 1980 2065
00:17:20:00 2161 1919 1994 2081
00:17:15:00 2181 1953 1974 2039
00:17:10:00 2162 1934 1987 2058
00:17:05:00 2079 1937 1999 2055
00:17:00:00 2064 1933 1994 2062
00:16:55:00 2039 1954 1978 2026
00:16:50:00 2073 1958 1967 1989
00:16:45:00 2155 1947 2045 1939
00:16:40:00 2148 1959 1959 1991
00:16:35:00 2167 1991 1978 1990
-------Sensor Log End ---------------
--- TxtLog::disp() Start ---
00:23:40:00 watering begins pump 0
00:23:40:20 watering ends
00:23:45:00 watering begins pump 0
00:23:45:20 watering ends
00:23:50:00 watering begins pump 0
00:23:50:20 watering ends
01:00:00:00 watering begins pump 0
01:00:00:20 watering ends
01:00:10:00 watering begins pump 0
01:00:10:20 watering ends
01:00:20:00 watering begins pump 0
01:00:20:20 watering ends
01:00:40:00 watering begins pump 0
01:00:40:20 watering ends
01:00:45:00 watering begins pump 0
01:00:45:20 watering ends
--- TxtLog::disp() End ---
