------ Sensor Log Start -------------
01:01:00:00 2080 1587 2065 0
01:00:30:00 2093 1549 2065 0
01:00:00:00 2060 1560 2064 0
00:23:30:00 2027 1558 2029 0
00:23:00:00 2122 1591 2065 0
00:22:30:00 2133 1552 2067 0
00:22:00:00 2096 1548 2054 0
00:21:30:00 2114 1547 2063 0
00:21:00:00 2099 1533 2064 0
00:20:30:00 2108 1523 2064 0
00:20:00:00 2103 1463 2075 0
00:19:30:00 2029 1530 2075 0
00:19:00:00 2113 1520 2073 0
00:18:30:00 2128 1525 2138 0
00:18:00:00 2144 1445 2065 0
00:17:30:00 2128 1488 2091 0
00:17:00:00 2154 1479 2078 0
00:16:30:00 2157 1470 2075 0
00:16:00:00 2154 1456 2085 0
00:15:30:00 2141 1454 2096 0
00:15:00:00 2144 1443 2096 0
00:14:30:00 2146 1419 2087 0
00:14:00:00 2165 1409 2097 0
00:13:30:00 2173 1386 2099 0
00:13:00:00 2171 1349 2095 0
00:12:30:00 2172 1275 2092 0
00:12:00:00 2189 1950 2121 0
00:11:30:00 2188 1946 2085 0
00:11:00:00 2186 1942 2100 0
00:10:30:00 2176 1935 2085 0
00:10:00:00 2185 1928 2099 0
00:09:30:00 2162 1918 2135 0
00:09:00:00 2175 1925 2010 0
00:08:30:00 2128 1923 2086 0
00:08:00:00 2169 1878 2148 0
00:07:30:00 2155 1954 2310 0
00:07:00:00 2257 1959 2221 0
00:06:30:00 2246 1953 2208 0
00:06:00:00 2221 1968 2189 0
00:05:30:00 2274 1970 2135 0
00:05:00:00 2228 1936 2083 0
00:04:30:00 2211 1904 2062 0
00:04:00:00 2224 1875 2099 0
00:03:30:00 2212 1870 2071 0
00:03:00:00 2206 1858 2070 0
00:02:30:00 2160 1862 2039 0
00:02:00:00 2046 1855 2032 0
00:01:30:00 2085 1843 2014 0
00:01:00:00 2035 1842 2017 0
00:00:30:00 2080 1829 2005 0
-------Sensor Log End ---------------
--- TxtLog::disp() Start ---
00:05:30:00 watering begins pump 0
00:05:30:20 watering ends
00:07:00:00 watering begins pump 0
00:07:00:20 watering ends
00:07:30:00 watering begins pump 2
00:07:30:20 watering ends
--- TxtLog::disp() End ---
