------ Sensor Log Start -------------
05:21:10:00 2153 1549 1774 1647
05:21:00:00 2151 1552 1782 1646
05:20:50:00 2153 1554 1780 1647
05:20:40:00 2162 1556 1780 1647
05:20:30:00 2154 1553 1779 1647
05:20:20:00 2155 1555 1777 1644
05:20:10:00 2155 1556 1775 1648
05:20:00:00 2159 1558 1778 1649
05:19:50:00 2159 1561 1776 1646
05:19:40:00 2163 1559 1775 1646
05:19:30:00 2168 1561 1778 1647
05:19:20:00 2162 1558 1775 1643
05:19:10:00 2159 1558 1780 1641
05:19:00:00 2163 1556 1775 1642
05:18:50:00 2163 1557 1769 1636
05:18:40:00 2165 1559 1770 1635
05:18:30:00 2163 1555 1775 1634
05:18:20:00 2163 1554 1764 1631
05:18:10:00 2164 1557 1769 1629
05:18:00:00 2164 1552 1766 1633
05:17:50:00 2162 1545 1756 1626
05:17:40:00 2169 1549 1764 1628
05:17:30:00 2166 1548 1763 1617
05:17:20:00 2164 1545 1756 1618
05:17:10:00 2169 1544 1741 1618
05:17:00:00 2167 1547 1731 1609
05:16:50:00 2161 1535 1731 1608
05:16:40:00 2163 1536 1733 1609
05:16:30:00 2163 1539 1723 1614
05:16:20:00 2163 1534 1727 1609
05:16:10:00 2165 1532 1718 1615
05:16:00:00 2167 1531 1725 1599
05:15:50:00 2169 1526 1729 1595
05:15:40:00 2169 1526 1735 1595
05:15:30:00 2173 1526 1755 1605
05:15:20:00 2176 1529 1825 1636
05:15:10:00 2176 1527 1839 1627
05:15:00:00 2185 1527 1818 1618
05:14:50:00 2186 1528 1824 1612
05:14:40:00 2199 1520 1756 1563
05:14:30:00 2189 1524 1812 1571
05:14:20:00 2200 1520 1810 1555
05:14:10:00 2210 1527 1791 1552
05:14:00:00 2218 1523 1807 1553
05:13:50:00 2221 1520 1809 1541
05:13:40:00 2214 1505 1801 1524
05:13:30:00 2219 1505 1797 1529
05:13:20:00 2220 1484 1784 1516
05:13:10:00 2216 1485 1766 1505
05:13:00:00 2223 1487 1747 1495
05:12:50:00 2202 1467 1740 1499
05:12:40:00 2216 1472 1741 1494
05:12:30:00 2223 1467 1741 1499
05:12:20:00 2201 1444 1742 1481
05:12:10:00 2192 1439 1737 1473
05:12:00:00 2206 1439 1755 1472
05:11:50:00 2213 1439 1761 1466
05:11:40:00 2226 1433 1757 1452
05:11:30:00 2200 1418 1761 1444
05:11:20:00 2192 1410 1755 1427
05:11:10:00 2194 1404 1749 1424
05:11:00:00 2200 1410 1735 1423
05:10:50:00 2190 1395 1727 1416
05:10:40:00 2191 1392 1718 1412
05:10:30:00 2186 1384 1714 1405
05:10:20:00 2191 1385 1717 1401
05:10:10:00 2186 1383 1727 1390
05:10:00:00 2176 1373 1716 1385
05:09:50:00 2166 1368 1714 1375
05:09:40:00 2154 1352 1704 1363
05:09:30:00 2141 1345 1699 1363
05:09:20:00 2132 1334 1697 1347
05:09:10:00 2139 1328 1695 1348
05:09:00:00 2133 1326 1697 1353
05:08:50:00 2129 1327 1693 1349
05:08:40:00 2126 1321 1693 1344
05:08:30:00 2122 1313 1696 1343
05:08:20:00 2124 1313 1688 1337
05:08:10:00 2127 1310 1687 1343
05:08:00:00 2116 1307 1689 1337
05:07:50:00 2121 1305 1684 1332
05:07:40:00 2113 1304 1689 1333
05:07:30:00 2117 1301 1691 1338
05:07:20:00 2117 1298 1687 1328
05:07:10:00 2120 1298 1689 1325
05:07:00:00 2119 1296 1685 1324
05:06:50:00 2119 1296 1682 1323
05:06:40:00 2118 1293 1686 1323
05:06:30:00 2120 1292 1686 1326
05:06:20:00 2118 1292 1686 1320
05:06:10:00 2116 1287 1688 1317
05:06:00:00 2117 1283 1690 1317
05:05:50:00 2116 1283 1681 1313
05:05:40:00 2115 1278 1687 1315
05:05:30:00 2117 1275 1682 1305
05:05:20:00 2116 1271 1678 1307
05:05:10:00 2117 1269 1690 1304
05:05:00:00 2116 1271 1684 1307
05:04:50:00 2119 1269 1686 1305
05:04:40:00 2121 1268 1683 1307
05:04:30:00 2119 1257 1680 1301
05:04:20:00 2114 1259 1685 1296
05:04:10:00 2119 1256 1682 1296
05:04:00:00 2112 1252 1683 1292
05:03:50:00 2112 1247 1682 1287
05:03:40:00 2112 1234 1682 1287
05:03:30:00 2111 1242 1679 1284
05:03:20:00 2108 1233 1679 1280
05:03:10:00 2112 1227 1678 1275
05:03:00:00 2102 1219 1673 1272
05:02:50:00 2108 1218 1675 1265
05:02:40:00 2118 1214 1677 1262
05:02:30:00 2117 1209 1675 1260
05:02:20:00 2112 1200 1673 1252
05:02:10:00 2118 1195 1672 1245
05:02:00:00 2106 1189 1678 1238
05:01:50:00 2111 1183 1667 1232
05:01:40:00 2113 1179 1677 1230
05:01:30:00 2114 1165 1674 1221
05:01:20:00 2117 1158 1675 1214
05:01:10:00 2120 1149 1675 1209
05:01:00:00 2111 1139 1670 1195
05:00:50:00 2116 1129 1674 1187
05:00:40:00 2114 1107 1671 1169
05:00:30:00 2124 1082 1675 1144
05:00:20:00 2125 1017 1677 1113
05:00:10:00 2122 1535 1679 1702
05:00:00:00 2132 1531 1682 1699
04:23:50:00 2127 1534 1676 1705
04:23:40:00 2127 1532 1676 1699
04:23:30:00 2124 1524 1674 1697
04:23:20:00 2136 1529 1675 1695
04:23:10:00 2126 1525 1678 1694
04:23:00:00 2130 1522 1676 1699
04:22:50:00 2133 1529 1677 1702
04:22:40:00 2135 1522 1673 1701
04:22:30:00 2146 1524 1675 1691
04:22:20:00 2138 1522 1671 1693
04:22:10:00 2136 1522 1675 1696
04:22:00:00 2142 1526 1671 1695
04:21:50:00 2140 1525 1673 1690
04:21:40:00 2146 1524 1673 1698
04:21:30:00 2145 1520 1681 1690
04:21:20:00 2154 1518 1675 1695
04:21:10:00 2149 1520 1673 1694
04:21:00:00 2154 1514 1677 1690
